i,j,duration_days,season
1,24,2,Winter
1,45,2,Winter
2,24,2,Winter
2,45,2,Winter
2,46,2,Winter
3,2,2,Winter
3,23,2,Winter
3,33,2,Winter
3,34,2,Winter
3,35,2,Winter
3,35,2,Winter
3,36,2,Winter
3,36,2,Winter
3,37,3,Winter
3,44,2,Winter
3,45,2,Winter
3,46,2,Winter
4,2,2,Winter
4,2,2,Winter
4,2,2,Winter
4,2,2,Winter
4,3,2,Winter
4,4,2,Winter
4,5,2,Winter
4,6,2,Winter
4,6,2,Winter
4,6,2,Winter
4,6,2,Winter
4,7,2,Winter
4,13,2,Winter
4,16,2,Winter
4,17,2,Winter
4,17,2,Winter
4,23,2,Winter
4,24,2,Winter
4,32,2,Winter
4,33,3,Winter
4,34,3,Winter
4,35,2,Winter
4,36,2,Winter
4,43,2,Winter
4,43,2,Winter
4,44,2,Winter
4,44,2,Winter
4,45,2,Winter
4,46,2,Winter
4,46,2,Winter
5,2,2,Winter
5,2,2,Winter
5,2,2,Winter
5,3,2,Winter
5,4,2,Winter
5,4,2,Winter
5,5,2,Winter
5,5,2,Winter
5,6,2,Winter
5,6,2,Winter
5,7,2,Winter
5,7,2,Winter
5,8,2,Winter
5,9,2,Winter
5,10,2,Winter
5,11,2,Winter
5,12,2,Winter
5,13,3,Winter
5,15,2,Winter
5,17,2,Winter
5,18,2,Winter
5,19,2,Winter
5,22,2,Winter
5,23,2,Winter
5,23,2,Winter
5,24,3,Winter
5,25,2,Winter
5,28,2,Winter
5,28,2,Winter
5,29,2,Winter
5,30,2,Winter
5,30,2,Winter
5,31,2,Winter
5,35,2,Winter
6,2,2,Winter
6,2,2,Winter
6,2,2,Winter
6,3,3,Winter
6,6,2,Winter
6,7,2,Winter
6,9,2,Winter
6,10,2,Winter
6,11,3,Winter
6,11,3,Winter
6,12,2,Winter
6,12,2,Winter
6,13,2,Winter
6,13,2,Winter
6,14,2,Winter
6,15,2,Winter
6,20,3,Winter
6,21,2,Winter
6,22,2,Winter
6,23,2,Winter
6,23,2,Winter
6,24,3,Winter
6,25,5,Winter
6,26,2,Winter
6,26,2,Winter
6,28,2,Winter
6,29,2,Winter
6,30,2,Winter
6,31,2,Winter
6,32,3,Winter
6,33,2,Winter
7,2,2,Winter
7,2,3,Winter
7,2,2,Winter
7,2,2,Winter
7,3,2,Winter
7,3,3,Winter
7,3,2,Winter
7,3,2,Winter
7,3,2,Winter
7,4,3,Winter
7,4,2,Winter
7,4,2,Winter
7,5,2,Winter
7,5,2,Winter
7,6,2,Winter
7,7,2,Winter
7,10,2,Winter
7,11,3,Winter
7,11,3,Winter
7,12,2,Winter
7,12,2,Winter
7,13,2,Winter
7,13,2,Winter
7,14,2,Winter
7,14,2,Winter
7,14,2,Winter
7,15,2,Winter
7,15,2,Winter
7,21,2,Winter
7,22,2,Winter
7,23,2,Winter
7,24,3,Winter
7,26,2,Winter
7,29,2,Winter
7,30,2,Winter
7,31,3,Winter
7,32,3,Winter
7,33,2,Winter
7,41,2,Winter
8,2,3,Winter
8,2,2,Winter
8,2,4,Winter
8,3,2,Winter
8,3,3,Winter
8,3,2,Winter
8,3,2,Winter
8,3,2,Winter
8,4,2,Winter
8,4,2,Winter
8,4,2,Winter
8,5,2,Winter
8,5,2,Winter
8,6,2,Winter
8,7,2,Winter
8,11,2,Winter
8,12,3,Winter
8,12,2,Winter
8,13,3,Winter
8,13,3,Winter
8,14,2,Winter
8,14,4,Winter
8,15,2,Winter
8,15,2,Winter
8,15,2,Winter
8,16,2,Winter
8,16,4,Winter
8,17,4,Winter
8,17,3,Winter
8,20,2,Winter
8,21,2,Winter
8,21,3,Winter
8,22,2,Winter
8,22,3,Winter
8,23,2,Winter
8,26,3,Winter
8,26,3,Winter
8,27,2,Winter
8,27,2,Winter
8,28,2,Winter
