ISO_A2,model,median_BOC,median_EOC,rel_change_%,p_shapiro_BOC,p_shapiro_EOC,p_ttest,signif_ttest
AT,ACCESS-CM2,10831.326006897145,11864.46439770212,9.53842946050277,0.2798120353547156,0.610096613759202,9.549806196794733e-11,True
AT,CanESM5,11153.948360280661,11364.134450428768,1.8844097476422061,0.659839688677021,0.016926347707421244,0.3815512377821054,False
AT,CMCC-CM2-SR5,7490.138456350552,8445.683712404121,12.75737773903773,0.9016292291778042,0.0011504305386619536,2.870545357878863e-10,True
AT,CMCC-ESM2,7633.101278215284,8382.816160939834,9.8218909378842,0.5636436084222411,0.45333911063719784,2.521666401163311e-09,True
AT,HadGEM3-GC31-LL,10735.540230190061,11909.26812349907,10.93310507102659,0.5367708146125603,0.46847813108967934,3.86123336174568e-20,True
AT,HadGEM3-GC31-MM,10568.833489212324,11189.319537718244,5.870903814874687,0.6787857467346541,0.0003328091149094098,7.617408440745948e-11,True
AT,MRI-ESM2-0,9711.766709493473,10455.766778134439,7.660810755613484,0.02815033240781815,0.7234607571235276,6.114724389476095e-09,True
BE,ACCESS-CM2,3412.9624978122365,3864.209765084513,13.221571217425717,0.2328715313570821,0.6686921343783931,3.309313179086101e-13,True
BE,CanESM5,3775.7210038558865,4028.884806054601,6.7050452599695705,0.7185982234427547,0.5906802014431771,8.777239053736579e-05,True
BE,CMCC-CM2-SR5,2531.2498021694846,2690.78932028026,6.302796269812541,0.4450695163454544,0.4998146505991529,1.126405842436659e-06,True
BE,CMCC-ESM2,2526.229852527902,2662.0244623169965,5.3753861570913655,0.9839952289743418,0.1671541775853833,0.00016148648608180137,True
BE,HadGEM3-GC31-LL,3474.403383781938,3894.291891263074,12.08519740226828,0.25575421354152716,0.03079902140459676,5.640131151098025e-19,True
BE,HadGEM3-GC31-MM,3438.676644179898,3788.6254106496026,10.176844253791852,0.6180379796513269,0.00024598431128917253,1.3161973745766474e-15,True
BE,MRI-ESM2-0,3144.9875135858224,3305.538690148962,5.104986136497685,0.22633401727078323,0.7772059426946528,2.8454943137795517e-06,True
BG,ACCESS-CM2,14847.542494107058,16340.532762731622,10.055470588598263,0.8558494235159133,0.4434982932533358,2.7817354225793995e-17,True
BG,CanESM5,15776.797932332862,16061.309444735161,1.80335397349055,0.5713079720257358,0.21772444508957467,0.048661179731261044,True
BG,CMCC-CM2-SR5,10674.598594018727,11936.816851054087,11.824503244015336,0.07939553944474304,0.2969725390114633,2.215837573398496e-10,True
BG,CMCC-ESM2,10813.015296504464,11991.833333053926,10.901843789405723,0.6361179767282898,0.15714895785018412,4.6873041134324795e-09,True
BG,HadGEM3-GC31-LL,14370.583201112484,15458.045265709025,7.56727858137557,0.7627185773631389,0.6175137318795807,3.446671867859211e-11,True
BG,HadGEM3-GC31-MM,14508.492617999585,15256.586986952398,5.15625150489244,0.4814531737641001,0.5041358180049396,3.200142991188848e-10,True
BG,MRI-ESM2-0,13906.077790378155,14917.366412939036,7.272277904705877,0.06561712535756004,0.2414902642916159,3.743843892352336e-10,True
HR,ACCESS-CM2,6981.964693404691,7836.933390157237,12.245388429995456,0.8151147625762056,0.09866600752922589,6.626642503144791e-17,True
HR,CanESM5,7602.061546728375,7694.656285060918,1.2180214243647103,0.04959464598223112,0.014488047935437587,0.26735373131176116,False
HR,CMCC-CM2-SR5,5463.045781099031,5824.481625268625,6.6160134593798325,0.748766056467852,0.10004665124587431,2.6827070648215257e-07,True
HR,CMCC-ESM2,5464.535848147171,5877.219519513236,7.5520352109318,0.33168916692307615,0.378308704096606,1.7863452645637283e-08,True
HR,HadGEM3-GC31-LL,6973.582593754592,7664.455109777029,9.906995532556952,0.8441238450454991,0.3242363830191804,6.611330404605081e-17,True
HR,HadGEM3-GC31-MM,6957.462654759442,7404.833282229544,6.430083058571166,0.8920797332620144,0.2876837831675807,5.717467021442982e-10,True
HR,MRI-ESM2-0,6731.760860448473,7153.653129728568,6.267190383408666,0.4557147916017923,0.2905813774173346,6.48468843840273e-08,True
CZ,ACCESS-CM2,9105.377730621047,10194.352619611213,11.959689330932243,0.15552098529071517,0.3800364537358211,2.0600206845376972e-13,True
CZ,CanESM5,10123.633506179352,10222.516326337773,0.9767522707935168,0.055150444848262856,0.03977634423199691,0.058686841619044305,False
