ISO_A2,mean_BOC (kWh/kWp),mean_EOC (kWh/kWp),rel_change_%,p_shapiro_BOC,p_shapiro_EOC,p_ttest
AT,9446.549087657479,10348.050591081288,9.543183389600749,1.2895917827534073e-10,5.542604987563389e-10,3.481537148388349e-09
BE,3093.6462847665507,3380.5845926211,9.275084526226046,7.573119680182166e-09,2.7241144746435072e-11,5.247248721043396e-09
BG,13157.60518871442,14269.230877100561,8.448541147439258,3.240524652458657e-11,5.926517429323869e-11,1.1899833365037595e-09
HR,6422.8520209661265,6950.854362119595,8.220683575301276,4.141427147832663e-10,2.1741186687314556e-11,1.0897082100923359e-10
CZ,8038.311811291872,8896.40109023623,10.674993693812066,2.1508345800933496e-09,2.515961584476611e-10,5.938540108671924e-11
DK,4646.626250087687,4959.637345423929,6.736308850541508,8.023876453693876e-10,3.973487049324378e-11,2.9486985251515073e-05
EE,5130.537993637348,5421.179268374943,5.664927832091566,1.089942414528198e-08,3.088510135482444e-11,0.0008100455213051492
FI,13476.210022337124,13997.66784085869,3.8694693660698274,2.58536237304722e-06,3.546606060719048e-08,0.03833653170135481
FR,63043.78361234595,68146.8092806297,8.094415302961647,1.9902238379472583e-11,1.9138568550507515e-11,8.12989712426828e-09
DE,36283.489168838845,39757.04533854242,9.573379653593925,8.740383986206656e-10,2.7079755505900825e-11,3.4743732072901306e-09
GR,17161.564558538634,18272.97411009951,6.476155176702115,1.983241719944566e-12,6.000578204806628e-11,9.47106653203238e-09
HU,10688.545191578089,11601.517013365592,8.541591071784667,3.9776471062824266e-11,1.1261192630717593e-12,1.5827534361069276e-09
IE,6605.286542336711,6950.07408039,5.219872534573123,4.0084208246559374e-10,7.147214290541145e-12,0.002182286611201857
IT,39756.313421980674,42134.768420892404,5.982584385192811,1.585286356834116e-11,2.234875533284862e-11,4.372972752938067e-07
LV,6970.487866773537,7449.419257140056,6.870844616909218,2.8979126356323835e-09,5.979502356893344e-11,5.7878257317938506e-05
LT,6816.703138012336,7319.9016761936045,7.381846150454406,2.1498168683085602e-09,5.112771862993968e-11,1.3816561965356688e-05
LU,257.17206426641496,283.33405633099585,10.172952548018053,8.790743173991575e-08,2.3750123470444674e-10,5.963680721661436e-10
MT,40.290913829234924,41.19673043658338,2.2481907737004434,9.08254857480345e-13,3.1987829580109073e-13,0.013306398642032816
NL,3766.4233560499983,4078.9670917131707,8.298157326396513,1.0548280347562522e-09,9.122163527442563e-12,2.855479306369365e-07
PL,32247.23470659081,35160.53237217494,9.034255780662942,5.134216183730172e-10,1.6187603527217593e-11,4.096894995288185e-08
PT,12417.227932819233,12974.52800761038,4.488119875114652,1.9484095805887292e-07,6.1549308902881864e-09,2.5046689192905406e-05
RO,26362.701528722802,28710.299169775146,8.904996471983644,1.3386059499754227e-10,7.744091707774771e-12,1.3429308715414298e-09
SK,5142.140894161812,5648.544015836745,9.848098916345975,1.8489396635820177e-10,9.701148738287656e-12,2.0480647809897863e-10
SI,2325.677807565064,2544.5814424715454,9.412466085991028,1.969271813182293e-09,7.84616435966225e-10,2.3397105282153343e-10
ES,71870.26797927766,76741.74759702843,6.7781570247593335,8.039495295417323e-10,2.671768918523155e-09,4.558032117184025e-10
SE,36294.48433081582,38188.09381014883,5.21734779883685,1.3100436711182395e-08,1.3256535115994294e-11,0.0003915473181589957
CY,856.7741132322312,875.9004813844621,2.232369986071997,3.0409669643710964e-09,7.829630701310964e-13,0.0015689420291583906
