model,ISO_A2,season,p_shapiro_BOC,p_shapiro_EOC,p_ttest,median_BOC,median_EOC,rel_change_%,signif_ttest
ACCESS-CM2,AT,Winter,0.336383755,0.174871582,0.001818253,1491.140468,1347.566979,-9.628434901,True
ACCESS-CM2,BE,Winter,0.398423346,0.025374303,0.037303556,257.581775,272.415473,5.75883056,True
ACCESS-CM2,BG,Winter,0.963632974,0.700333829,0.001332049,1900.233961,2081.708926,9.550138017,True
ACCESS-CM2,HR,Winter,0.637950728,0.742143804,4.88E-06,732.2201643,846.7499784,15.64144498,True
ACCESS-CM2,CZ,Winter,0.031447381,0.039213296,0.266078504,900.9825673,823.3672455,-8.614519811,False
ACCESS-CM2,DK,Winter,0.086255012,0.208755933,0.004295568,246.7515556,288.030651,16.72901123,True
ACCESS-CM2,EE,Winter,0.756078514,1.08E-05,2.36E-07,472.1402328,290.5666247,-38.45755891,True
ACCESS-CM2,FI,Winter,0.001911696,0.807303721,8.11E-07,838.1590875,605.3990648,-27.77038705,True
ACCESS-CM2,FR,Winter,0.767098161,0.235198879,1.08E-05,6985.71972,8044.601623,15.15780686,True
ACCESS-CM2,DE,Winter,0.393365419,0.255436574,0.655285394,3483.432307,3476.887188,-0.187892811,False
ACCESS-CM2,GR,Winter,0.502562389,0.716412752,2.27E-13,2640.169532,3178.958696,20.40736994,True
ACCESS-CM2,HU,Winter,0.713070303,0.242609055,0.285711328,1285.332421,1325.903956,3.156501287,False
ACCESS-CM2,IE,Winter,0.023475321,0.417471513,2.58E-06,489.567706,612.4287418,25.09582115,True
ACCESS-CM2,IT,Winter,0.419578782,0.639010832,2.05E-08,6037.458957,6940.471774,14.95683571,True
ACCESS-CM2,LV,Winter,0.242934987,7.80E-07,3.33E-06,710.779318,448.4021641,-36.91401076,True
ACCESS-CM2,LT,Winter,0.06979088,9.75E-07,8.34E-05,682.2862455,481.05646,-29.49345481,True
ACCESS-CM2,LU,Winter,0.203880057,0.988729793,0.293211093,22.03843464,23.231486,5.413503217,False
ACCESS-CM2,MT,Winter,0.10792432,0.092413822,6.95E-10,7.529274009,8.210242988,9.044284731,True
ACCESS-CM2,NL,Winter,0.126014364,0.157167878,0.002214754,263.4305957,304.1094027,15.44194471,True
ACCESS-CM2,PL,Winter,0.11758263,0.40237122,0.164267813,2929.427881,2819.779141,-3.743008688,False
ACCESS-CM2,PT,Winter,0.663402198,0.566246724,2.34E-09,1856.055638,2257.459291,21.62670372,True
ACCESS-CM2,RO,Winter,0.377664398,0.853245073,0.57135442,3492.627829,3633.109033,4.022220832,False
ACCESS-CM2,SK,Winter,0.372429191,0.013256773,0.046363037,592.9588627,544.4609259,-8.178971576,True
ACCESS-CM2,SI,Winter,0.139380903,0.746868742,0.33945306,316.7076157,317.1610304,0.143165085,False
ACCESS-CM2,ES,Winter,0.904082929,0.124247262,2.62E-13,11579.0278,14284.48867,23.3651816,True
ACCESS-CM2,SE,Winter,0.411400186,0.001755932,0.013106315,2310.506084,2084.342284,-9.788496212,True
ACCESS-CM2,CY,Winter,0.533026079,0.780021002,7.38E-14,143.23693,163.4389636,14.10392813,True
ACCESS-CM2,GB,Winter,0.746517537,0.905078431,2.63E-08,1596.732083,1987.927004,24.49972194,True
ACCESS-CM2,NO,Winter,0.735167894,0.008231004,0.003289308,1607.095496,1289.327002,-19.77284454,True
ACCESS-CM2,BA,Winter,0.680119512,0.497149549,6.60E-08,712.6499878,823.4532042,15.5480556,True
ACCESS-CM2,ME,Winter,0.389437857,0.941272841,3.56E-08,194.1299581,240.9044841,24.09443983,True
ACCESS-CM2,RS,Winter,0.623160229,0.773391007,0.000928738,1130.763053,1256.171065,11.0905651,True
ACCESS-CM2,AL,Winter,0.071762508,0.947466848,9.89E-13,474.463747,589.8396852,24.3171241,True
ACCESS-CM2,MK,Winter,0.343570917,0.604021004,8.14E-07,455.2527543,532.3769217,16.94095568,True
ACCESS-CM2,CH,Winter,0.167020832,0.082073008,0.001909517,856.9005301,714.6275997,-16.60320251,True
ACCESS-CM2,TR,Winter,0.134850543,0.699796074,5.80E-08,7498.279913,8628.953534,15.07910659,True
ACCESS-CM2,UA,Winter,0.340034838,0.004507963,0.000654503,5388.175918,4434.384602,-17.70156227,True
ACCESS-CM2,BY,Winter,0.078313032,4.30E-07,2.63E-07,2486.350044,1616.332759,-34.99174571,True
ACCESS-CM2,MD,Winter,0.941342869,0.20046633,0.323077207,512.6859071,469.3506146,-8.452600675,False
ACCESS-CM2,RU,Winter,0.487911126,1.17E-06,4.63E-09,3499.319547,2021.36191,-42.23557228,True
ACCESS-CM2,XK,Winter,0.544823448,0.898913951,1.68E-05,170.1305872,197.4058364,16.03194916,True
ACCESS-CM2,AT,Spring,0.876302352,0.77570854,0.000199302,2983.293412,3218.581719,7.88686442,True
ACCESS-CM2,BE,Spring,0.588028275,0.756141345,2.32E-09,1005.647743,1126.691386,12.03638584,True
ACCESS-CM2,BG,Spring,0.371012054,0.85197068,5.18E-13,3906.310731,4600.379275,17.76787848,True
ACCESS-CM2,HR,Spring,0.535862561,0.518412363,5.91E-10,1998.523061,2200.347893,10.09869918,True
ACCESS-CM2,CZ,Spring,0.55802693,0.907979653,2.27E-05,2531.950016,2806.209072,10.83193011,True
ACCESS-CM2,DK,Spring,0.090261296,0.987029402,9.64E-06,1627.828218,1751.566374,7.601425917,True
ACCESS-CM2,EE,Spring,0.236919387,0.317883635,0.60925118,1951.321972,1924.58533,-1.370180959,False
ACCESS-CM2,FI,Spring,0.104331794,0.973457059,0.004048506,5395.680342,5031.03006,-6.758189116,True
ACCESS-CM2,FR,Spring,0.419912612,0.395467696,8.21E-10,19283.15785,22102.20602,14.61922468,True
ACCESS-CM2,DE,Spring,0.737278513,0.819322902,5.43E-06,11781.35743,12760.0875,8.307447397,True
ACCESS-CM2,GR,Spring,0.681537959,0.351820963,1.93E-14,5267.900104,5885.568847,11.72514153,True
ACCESS-CM2,HU,Spring,0.168180076,0.373531592,3.12E-09,3280.02141,3749.219944,14.30473998,True
ACCESS-CM2,IE,Spring,0.131232142,0.414173936,6.12E-11,2253.058754,2493.599048,10.67616603,True
ACCESS-CM2,IT,Spring,0.560913938,0.28721387,9.80E-10,12334.64941,13314.4445,7.943436867,True
ACCESS-CM2,LV,Spring,0.404219068,0.970518825,0.095821361,2457.573253,2571.781078,4.64717888,False
ACCESS-CM2,LT,Spring,0.153971212,0.249984938,0.000992792,2298.033632,2500.600248,8.814780313,True
ACCESS-CM2,LU,Spring,0.912798116,0.875101377,1.65E-08,82.10973296,93.58033135,13.96984008,True
ACCESS-CM2,MT,Spring,0.848708142,0.681188294,5.92E-07,12.32668285,12.82980114,4.081538333,True
ACCESS-CM2,NL,Spring,0.078033942,0.901260883,3.33E-08,1254.854973,1397.046824,11.33133742,True
ACCESS-CM2,PL,Spring,0.457184791,0.370298419,1.52E-07,10349.28933,11531.22986,11.4204994,True
ACCESS-CM2,PT,Spring,0.668928679,0.407963442,1.28E-08,3791.969593,4120.544317,8.665014744,True
ACCESS-CM2,RO,Spring,0.751875542,0.26455693,7.86E-11,7910.556345,8997.226347,13.73696053,True
ACCESS-CM2,SK,Spring,0.025394847,0.553398303,1.07E-07,1609.292666,1816.927223,12.90222472,True
ACCESS-CM2,SI,Spring,0.075936687,0.329572056,2.48E-08,719.8916312,803.6291617,11.63196332,True
ACCESS-CM2,ES,Spring,0.247075127,0.924162823,9.90E-12,21754.58063,24085.46236,10.7144411,True
ACCESS-CM2,SE,Spring,0.764735182,0.429245016,0.194563225,13592.22759,13501.76567,-0.665541511,False
ACCESS-CM2,CY,Spring,0.104647379,0.618381887,2.57E-05,255.9803498,266.4434385,4.087457777,True
ACCESS-CM2,GB,Spring,0.801904582,0.769558668,1.01E-13,7905.8481,8952.082548,13.23367758,True
ACCESS-CM2,NO,Spring,0.764683781,0.003109663,0.018665132,9942.914986,9338.472755,-6.079125,True
ACCESS-CM2,BA,Spring,0.33565831,0.641868055,5.86E-10,1835.084089,2045.910905,11.48867336,True
ACCESS-CM2,ME,Spring,0.772157454,0.604644811,2.16E-09,491.2905744,546.6293142,11.2639531,True
ACCESS-CM2,RS,Spring,0.391488183,0.823161854,4.64E-11,2653.079044,3020.841123,13.86170832,True
ACCESS-CM2,AL,Spring,0.877300331,0.417687625,5.25E-11,1113.732005,1248.154846,12.06958593,True
ACCESS-CM2,MK,Spring,0.715826134,0.646678243,3.14E-13,939.1003053,1066.304618,13.54533824,True
ACCESS-CM2,CH,Spring,0.770857268,0.992735358,0.140032337,1595.352967,1630.442311,2.199472106,False
ACCESS-CM2,TR,Spring,0.548387267,0.05253124,1.04E-10,14342.48011,15868.24098,10.63805462,True
ACCESS-CM2,UA,Spring,0.394242995,0.134742654,8.18E-10,14049.11336,15855.73061,12.85929727,True
ACCESS-CM2,BY,Spring,0.047600862,0.049637503,6.91E-05,7074.096361,7854.65811,11.0340842,True
ACCESS-CM2,MD,Spring,0.582589449,0.454444541,4.57E-10,1127.371742,1278.654402,13.4190573,True
ACCESS-CM2,RU,Spring,0.148326974,0.971675506,0.432151703,10952.16713,10998.68775,0.424761769,False
ACCESS-CM2,XK,Spring,0.495874377,0.88701429,4.55E-11,384.8072399,434.3872597,12.88437813,True
ACCESS-CM2,AT,Summer,0.712931092,0.042166098,3.23E-11,4194.173541,4581.284563,9.229733069,True
ACCESS-CM2,BE,Summer,0.229452238,0.655065676,5.48E-11,1534.348909,1647.132979,7.350614261,True
ACCESS-CM2,BG,Summer,0.888573366,0.416079841,0.726291781,5681.837617,5674.936776,-0.121454379,False
ACCESS-CM2,HR,Summer,0.123749283,0.168969755,3.93E-05,2898.914611,2960.567164,2.126746068,True
ACCESS-CM2,CZ,Summer,0.403966087,0.108729239,1.56E-10,3875.732673,4212.538723,8.690125922,True
ACCESS-CM2,DK,Summer,0.167417239,0.127556895,0.00097597,2417.865842,2506.076275,3.648276576,True
ACCESS-CM2,EE,Summer,0.410085295,0.845028837,7.93E-10,2744.472973,2998.74714,9.264954281,True
ACCESS-CM2,FI,Summer,0.440860935,0.777333616,2.03E-08,6898.80576,7613.608996,10.3612605,True
ACCESS-CM2,FR,Summer,0.244811713,0.669572955,2.04E-09,28360.435,29727.2379,4.819400345,True
ACCESS-CM2,DE,Summer,0.210786102,0.091873515,1.52E-11,17598.8082,19122.64157,8.658730467,True
ACCESS-CM2,GR,Summer,0.915830771,0.596822375,5.60E-06,6721.988791,6597.804583,-1.847432538,True
ACCESS-CM2,HU,Summer,0.301550905,0.142126811,4.85E-06,4845.408458,5017.811263,3.558065477,True
ACCESS-CM2,IE,Summer,0.978671793,0.030838153,1.66E-07,3266.851069,3503.674893,7.249299684,True
ACCESS-CM2,IT,Summer,0.299472744,0.823012296,0.057420377,16002.43867,16133.34546,0.818042751,False
ACCESS-CM2,LV,Summer,0.685691829,0.994408651,5.52E-10,3655.97543,3976.730845,8.773456537,True
ACCESS-CM2,LT,Summer,0.868705891,0.831568072,7.30E-10,3565.47636,3816.778283,7.048200508,True
ACCESS-CM2,LU,Summer,0.209274452,0.816664037,1.99E-11,128.4465792,138.8771923,8.120584621,True
ACCESS-CM2,MT,Summer,0.946297548,0.861205835,6.01E-10,13.94918924,13.60386049,-2.475618753,True
ACCESS-CM2,NL,Summer,0.036918464,0.090401223,1.40E-08,1904.171153,2012.062139,5.666034033,True
ACCESS-CM2,PL,Summer,0.433855788,0.89891619,3.92E-09,16026.66156,17180.60209,7.200130398,True
ACCESS-CM2,PT,Summer,0.087276847,0.545222756,0.575652561,4726.870853,4691.481973,-0.748674574,False
ACCESS-CM2,RO,Summer,0.165890004,0.226767117,0.000197458,11910.78194,12261.25031,2.942446357,True
ACCESS-CM2,SK,Summer,0.053021566,0.021904782,2.53E-08,2433.454536,2609.777505,7.245788506,True
ACCESS-CM2,SI,Summer,0.096148083,0.298219821,1.39E-08,1056.849294,1127.782835,6.711793332,True
ACCESS-CM2,ES,Summer,0.707654886,0.168673758,0.001134948,26998.04321,27259.61923,0.968870289,True
ACCESS-CM2,SE,Summer,0.596221361,0.992464655,1.28E-08,17871.83479,19424.64721,8.68860103,True
ACCESS-CM2,CY,Summer,0.242918523,0.668474865,1.61E-18,287.7278546,277.3645837,-3.60176143,True
ACCESS-CM2,GB,Summer,0.806803424,0.210729173,1.12E-08,12052.01206,12751.17285,5.801195523,True
ACCESS-CM2,NO,Summer,0.790399621,0.966679389,1.55E-08,11712.42867,12764.59279,8.983312946,True
