ISO_A2,n_models_tested,n_models_significant,median_rel_change_sig
AT,7,6,9.430419629823243
BE,7,7,8.424546670979575
BG,7,7,7.797282798069107
HR,7,6,8.169617679140645
CZ,7,6,10.247218119944419
DK,7,6,6.38450882473587
EE,7,6,4.908967888482955
FI,7,5,4.379581520028095
FR,7,7,7.5058473629724825
DE,7,7,8.131508591215985
GR,7,7,5.959716113435561
HU,7,6,8.320032728739992
IE,7,5,4.975518297612787
IT,7,6,5.998649109957284
LV,7,6,6.750819196805704
LT,7,6,7.082783697191783
LU,7,7,9.040946862435476
MT,7,7,2.1573580998118613
NL,7,7,7.146535553569079
PL,7,6,8.485955285818568
PT,7,6,4.463546537403353
RO,7,6,9.147449852794951
SK,7,6,10.133946137645541
SI,7,6,9.212627192758806
ES,7,7,6.358846810070732
SE,7,5,5.950347402382092
CY,7,6,2.3155456009496143
GB,7,6,6.92427542640684
NO,7,4,1.5645444159253294
BA,7,7,8.052766182396983
ME,7,7,8.467262243682512
RS,7,6,9.490662635778685
AL,7,7,7.663125336610281
MK,7,7,8.199803740734676
CH,7,6,9.52240500228817
TR,7,7,6.506428024673424
UA,7,6,8.52525805216851
BY,7,6,7.509740469182756
MD,7,6,8.162632038691042
RU,7,6,6.852683397344457
XK,7,7,8.908967841166952
