ISO_A2,season,n_models_tested,n_models_significant,median_rel_change_sig
AL,Autumn,7.0,7.0,14.325245085223607
AL,Spring,7.0,6.0,12.967087568053968
AL,Summer,7.0,5.0,-2.9169947986892986
AL,Winter,7.0,6.0,21.85305952388189
AT,Autumn,7.0,7.0,15.411742536308276
AT,Spring,7.0,6.0,8.919412349955888
AT,Summer,7.0,7.0,6.952701871934354
AT,Winter,7.0,7.0,-6.265580608228576
BA,Autumn,7.0,7.0,15.05816126340466
BA,Spring,7.0,6.0,11.00467979314814
BA,Summer,7.0,2.0,3.43121665697847
BA,Winter,7.0,6.0,16.56476245499759
BE,Autumn,7.0,7.0,13.943027817188216
BE,Spring,7.0,3.0,9.015655093286675
BE,Summer,7.0,7.0,7.3506142612352
BE,Winter,7.0,4.0,9.173408757355928
BG,Autumn,7.0,7.0,13.980540517362183
BG,Spring,7.0,6.0,13.077816419547991
BG,Summer,7.0,4.0,-2.526038730928848
BG,Winter,7.0,6.0,13.359918923062132
BY,Autumn,7.0,7.0,19.060319218751882
BY,Spring,7.0,7.0,6.185838590890032
BY,Summer,7.0,7.0,7.599648829923658
BY,Winter,7.0,5.0,-34.991745714342045
CH,Autumn,7.0,7.0,13.91287359251859
CH,Spring,7.0,4.0,10.89818386511715
CH,Summer,7.0,7.0,7.77671818434086
CH,Winter,7.0,6.0,-8.112287113859587
CY,Autumn,7.0,5.0,2.0144443952183035
CY,Spring,7.0,4.0,3.4646261303115073
CY,Summer,7.0,5.0,-3.601761429829839
CY,Winter,7.0,7.0,15.26490738287386
CZ,Autumn,7.0,7.0,17.735647845203726
CZ,Spring,7.0,6.0,7.34515827903688
CZ,Summer,7.0,7.0,8.690125921756653
CZ,Winter,7.0,3.0,12.32084763855432
DE,Autumn,7.0,7.0,17.571042289324534
DE,Spring,7.0,6.0,5.481125209692268
DE,Summer,7.0,7.0,8.658730467037472
DE,Winter,7.0,3.0,13.7358104579894
DK,Autumn,7.0,5.0,21.23250329391314
DK,Spring,7.0,4.0,7.8518764438914195
DK,Summer,7.0,5.0,7.374259398555577
DK,Winter,7.0,3.0,15.048821119199642
EE,Autumn,7.0,6.0,22.411109479848406
EE,Spring,7.0,1.0,-3.211245941195224
EE,Summer,7.0,6.0,8.650349275250615
EE,Winter,7.0,5.0,-34.45189080307755
ES,Autumn,7.0,6.0,8.311408257463723
ES,Spring,7.0,5.0,10.803267402002833
ES,Summer,7.0,3.0,0.968870288954865
ES,Winter,7.0,6.0,13.807179363584982
FI,Autumn,7.0,5.0,21.22743170509518
FI,Spring,7.0,4.0,-2.9544495153740677
FI,Summer,7.0,6.0,8.635837475903422
FI,Winter,7.0,7.0,-28.71931241555785
FR,Autumn,7.0,7.0,12.82701787043989
FR,Spring,7.0,5.0,11.178459100385838
FR,Summer,7.0,7.0,5.237475600796395
FR,Winter,7.0,4.0,6.071548589053092
GB,Autumn,7.0,5.0,18.230582233905775
GB,Spring,7.0,3.0,9.731133926527443
GB,Summer,7.0,4.0,6.599408971382323
GB,Winter,7.0,5.0,12.909387025874649
GR,Autumn,7.0,7.0,8.279134771981807
GR,Spring,7.0,6.0,10.260942380348096
GR,Summer,7.0,7.0,-2.9774607965140913
GR,Winter,7.0,7.0,18.831499721959464
HR,Autumn,7.0,7.0,13.235558976290065
HR,Spring,7.0,6.0,10.89241382268215
HR,Summer,7.0,3.0,2.1267460683420687
HR,Winter,7.0,7.0,11.5940242425349
HU,Autumn,7.0,7.0,14.808189727122972
HU,Spring,7.0,6.0,9.168039317363707
HU,Summer,7.0,5.0,2.384582993415668
HU,Winter,7.0,5.0,15.709372087014803
IE,Autumn,7.0,5.0,11.835908749115108
IE,Spring,7.0,4.0,8.175458925448366
IE,Summer,7.0,5.0,5.566320548971409
IE,Winter,7.0,6.0,13.021969767502593
IT,Autumn,7.0,7.0,9.184952840135535
IT,Spring,7.0,6.0,7.871163040981854
IT,Summer,7.0,2.0,-0.2653855380686969
IT,Winter,7.0,5.0,10.185996135263615
LT,Autumn,7.0,7.0,22.6654967638465
LT,Spring,7.0,3.0,7.913369267041144
LT,Summer,7.0,7.0,7.717392231688451
LT,Winter,7.0,4.0,-31.771910734346235
LU,Autumn,7.0,7.0,19.11712002152293
LU,Spring,7.0,5.0,9.447101171209042
LU,Summer,7.0,7.0,7.812705607356807
LU,Winter,7.0,4.0,13.267219909939927
LV,Autumn,7.0,6.0,25.620946507621305
LV,Spring,7.0,2.0,6.802326745584825
LV,Summer,7.0,6.0,8.385512037300757
LV,Winter,7.0,4.0,-34.723913926908324
MD,Autumn,7.0,7.0,15.332208833400848
MD,Spring,7.0,6.0,9.318629976897743
MD,Summer,7.0,4.0,1.8662003121126474
MD,Winter,7.0,5.0,12.957317925448631
ME,Autumn,7.0,7.0,15.751392916183764
ME,Spring,7.0,6.0,14.75444607865011
ME,Summer,7.0,3.0,1.5946055112428748
ME,Winter,7.0,6.0,19.426833628138084
MK,Autumn,7.0,7.0,12.996798626578807
MK,Spring,7.0,6.0,13.609043499939938
MK,Summer,7.0,4.0,-2.92591967282946
MK,Winter,7.0,6.0,19.328048602422108
MT,Autumn,7.0,4.0,2.906023583864953
MT,Spring,7.0,6.0,3.5414229050425563
MT,Summer,7.0,6.0,-2.4683819359372654
MT,Winter,7.0,7.0,8.972807333182548
NL,Autumn,7.0,6.0,17.760482242210117
NL,Spring,7.0,3.0,9.239404043652101
NL,Summer,7.0,5.0,8.015214096435477
NL,Winter,7.0,4.0,15.688737080413867
NO,Autumn,7.0,5.0,11.014305564025873
NO,Spring,7.0,5.0,-6.079124999948009
NO,Summer,7.0,6.0,8.937494922356876
NO,Winter,7.0,5.0,-19.560898557060444
PL,Autumn,7.0,7.0,18.211587845054762
PL,Spring,7.0,5.0,6.303075602795009
PL,Summer,7.0,7.0,7.200130398103351
PL,Winter,7.0,3.0,-11.50362218762759
PT,Autumn,7.0,5.0,9.476784971061146
PT,Spring,7.0,5.0,10.19654278923393
PT,Summer,7.0,3.0,-2.7848619004577255
PT,Winter,7.0,3.0,12.800710295155394
RO,Autumn,7.0,7.0,17.378726568287085
RO,Spring,7.0,6.0,12.309302481571553
RO,Summer,7.0,3.0,2.180659184379762
RO,Winter,7.0,4.0,26.526705090454428
RS,Autumn,7.0,7.0,14.828581489165188
RS,Spring,7.0,6.0,12.865136211588851
RS,Summer,7.0,2.0,1.6025642408948664
RS,Winter,7.0,7.0,11.62331260228813
RU,Autumn,7.0,6.0,25.46984513107855
RU,Spring,7.0,3.0,3.9462053069651435
RU,Summer,7.0,7.0,8.976878350461906
RU,Winter,7.0,4.0,-41.554835029451866
SE,Autumn,7.0,5.0,16.229537335585356
SE,Spring,7.0,3.0,3.759795292918555
SE,Summer,7.0,6.0,8.336336782082382
SE,Winter,7.0,4.0,-14.204491712581389
SI,Autumn,7.0,7.0,16.975924841763167
SI,Spring,7.0,6.0,12.711417630182233
SI,Summer,7.0,4.0,4.455244132350498
SI,Winter,7.0,4.0,7.926228725706354
SK,Autumn,7.0,7.0,17.04891471118979
SK,Spring,7.0,6.0,7.206860398578774
SK,Summer,7.0,7.0,4.51906624713131
SK,Winter,7.0,5.0,16.487982018681116
TR,Autumn,7.0,7.0,6.744031339343399
TR,Spring,7.0,7.0,10.049463894724155
TR,Summer,7.0,7.0,-2.999376897084938
TR,Winter,7.0,7.0,21.935812322334066
UA,Autumn,7.0,7.0,20.101640321859204
UA,Spring,7.0,7.0,8.994465448816785
UA,Summer,7.0,5.0,4.257256597186429
UA,Winter,7.0,7.0,-17.701562269549257
XK,Autumn,7.0,7.0,16.473128172632496
XK,Spring,7.0,6.0,13.501966089540396
XK,Summer,7.0,4.0,-0.25090475522683864
XK,Winter,7.0,7.0,16.031949163211276
